,order,num_trees,repetition,assignment,hidden_dim,layers,accuracy
436,32,16,1,3,64,3,0.8125
437,32,16,1,3,128,3,1.0
438,32,16,1,3,256,3,0.875
439,32,16,1,3,512,3,1.0
440,32,16,2,0,32,3,0.875
441,32,16,2,0,64,3,1.0
442,32,16,2,0,128,3,0.8125
443,32,16,2,0,256,3,1.0
444,32,16,2,0,512,3,1.0
445,32,16,2,1,32,3,0.75
446,32,16,2,1,64,3,0.875
447,32,16,2,1,128,3,0.75
448,32,16,2,1,256,3,0.9375
449,32,16,2,1,512,3,1.0
450,32,16,2,2,32,3,0.6875
451,32,16,2,2,64,3,0.75
452,32,16,2,2,128,3,0.75
453,32,16,2,2,256,3,0.8125
454,32,16,2,2,512,3,1.0
455,32,16,2,3,32,3,0.9375
456,32,16,2,3,64,3,1.0
457,32,16,2,3,128,3,1.0
458,32,16,2,3,256,3,1.0
459,32,16,2,3,512,3,1.0
460,32,16,3,0,32,3,1.0
461,32,16,3,0,64,3,0.8125
462,32,16,3,0,128,3,0.8125
463,32,16,3,0,256,3,1.0
464,32,16,3,0,512,3,1.0
465,32,16,3,1,32,3,0.75
466,32,16,3,1,64,3,0.875
467,32,16,3,1,128,3,0.875
468,32,16,3,1,256,3,0.875
469,32,16,3,1,512,3,1.0
470,32,16,3,2,32,3,0.9375
471,32,16,3,2,64,3,0.9375
472,32,16,3,2,128,3,0.875
473,32,16,3,2,256,3,0.9375
474,32,16,3,2,512,3,1.0
475,32,16,3,3,32,3,0.6875
476,32,16,3,3,64,3,0.6875
477,32,16,3,3,128,3,0.875
478,32,16,3,3,256,3,0.875
479,32,16,3,3,512,3,1.0
480,32,32,0,0,32,3,0.75
481,32,32,0,0,64,3,0.90625
482,32,32,0,0,128,3,0.625
483,32,32,0,0,256,3,0.78125
484,32,32,0,0,512,3,1.0
485,32,32,0,1,32,3,0.625
486,32,32,0,1,64,3,0.75
487,32,32,0,1,128,3,0.75
488,32,32,0,1,256,3,0.8125
489,32,32,0,1,512,3,1.0
490,32,32,0,2,32,3,0.78125
491,32,32,0,2,64,3,0.75
492,32,32,0,2,128,3,0.78125
493,32,32,0,2,256,3,0.90625
494,32,32,0,2,512,3,1.0
495,32,32,0,3,32,3,0.84375
496,32,32,0,3,64,3,0.875
497,32,32,0,3,128,3,0.84375
498,32,32,0,3,256,3,1.0
499,32,32,0,3,512,3,1.0
500,32,32,1,0,32,3,0.8125
501,32,32,1,0,64,3,0.8125
502,32,32,1,0,128,3,0.84375
503,32,32,1,0,256,3,1.0
504,32,32,1,0,512,3,1.0
505,32,32,1,1,32,3,0.84375
506,32,32,1,1,64,3,0.6875
507,32,32,1,1,128,3,1.0
508,32,32,1,1,256,3,1.0
509,32,32,1,1,512,3,1.0
510,32,32,1,2,32,3,0.78125
511,32,32,1,2,64,3,0.78125
512,32,32,1,2,128,3,0.78125
513,32,32,1,2,256,3,0.875
514,32,32,1,2,512,3,0.9375
515,32,32,1,3,32,3,0.84375
516,32,32,1,3,64,3,0.84375
517,32,32,1,3,128,3,0.8125
518,32,32,1,3,256,3,1.0
519,32,32,1,3,512,3,1.0
520,32,32,2,0,32,3,0.78125
521,32,32,2,0,64,3,0.65625
522,32,32,2,0,128,3,0.71875
523,32,32,2,0,256,3,0.78125
524,32,32,2,0,512,3,1.0
525,32,32,2,1,32,3,0.71875
526,32,32,2,1,64,3,0.6875
527,32,32,2,1,128,3,0.78125
528,32,32,2,1,256,3,1.0
529,32,32,2,1,512,3,1.0
530,32,32,2,2,32,3,0.75
531,32,32,2,2,64,3,0.71875
532,32,32,2,2,128,3,0.875
533,32,32,2,2,256,3,1.0
534,32,32,2,2,512,3,1.0
535,32,32,2,3,32,3,0.6875
536,32,32,2,3,64,3,0.75
537,32,32,2,3,128,3,0.84375
538,32,32,2,3,256,3,0.6875
539,32,32,2,3,512,3,1.0
540,32,32,3,0,32,3,0.78125
541,32,32,3,0,64,3,0.71875
542,32,32,3,0,128,3,0.71875
543,32,32,3,0,256,3,0.78125
544,32,32,3,0,512,3,0.8125
545,32,32,3,1,32,3,0.6875
546,32,32,3,1,64,3,0.6875
547,32,32,3,1,128,3,0.875
548,32,32,3,1,256,3,1.0
549,32,32,3,1,512,3,1.0
550,32,32,3,2,32,3,0.9375
551,32,32,3,2,64,3,0.9375
552,32,32,3,2,128,3,0.90625
553,32,32,3,2,256,3,0.90625
554,32,32,3,2,512,3,1.0
555,32,32,3,3,32,3,0.625
556,32,32,3,3,64,3,0.6875
557,32,32,3,3,128,3,0.78125
558,32,32,3,3,256,3,0.875
559,32,32,3,3,512,3,1.0
560,32,64,0,0,32,3,0.65625
561,32,64,0,0,64,3,0.765625
562,32,64,0,0,128,3,0.671875
563,32,64,0,0,256,3,0.796875
564,32,64,0,0,512,3,1.0
565,32,64,0,1,32,3,0.640625
566,32,64,0,1,64,3,0.640625
567,32,64,0,1,128,3,0.65625
568,32,64,0,1,256,3,0.78125
569,32,64,0,1,512,3,1.0
570,32,64,0,2,32,3,0.734375
571,32,64,0,2,64,3,0.765625
572,32,64,0,2,128,3,0.765625
573,32,64,0,2,256,3,0.875
574,32,64,0,2,512,3,1.0
575,32,64,0,3,32,3,0.625
576,32,64,0,3,64,3,0.640625
577,32,64,0,3,128,3,0.8125
578,32,64,0,3,256,3,0.890625
579,32,64,0,3,512,3,1.0
580,32,64,1,0,32,3,0.734375
581,32,64,1,0,64,3,0.71875
582,32,64,1,0,128,3,0.75
583,32,64,1,0,256,3,0.953125
584,32,64,1,0,512,3,1.0
585,32,64,1,1,32,3,0.640625
586,32,64,1,1,64,3,0.6875
587,32,64,1,1,128,3,0.734375
588,32,64,1,1,256,3,0.796875
589,32,64,1,1,512,3,0.984375
590,32,64,1,2,32,3,0.71875
591,32,64,1,2,64,3,0.75
592,32,64,1,2,128,3,0.78125
593,32,64,1,2,256,3,0.75
594,32,64,1,2,512,3,1.0
595,32,64,1,3,32,3,0.765625
596,32,64,1,3,64,3,0.828125
597,32,64,1,3,128,3,0.875
598,32,64,1,3,256,3,0.921875
599,32,64,1,3,512,3,0.984375
600,32,64,2,0,32,3,0.703125
601,32,64,2,0,64,3,0.78125
602,32,64,2,0,128,3,0.78125
603,32,64,2,0,256,3,0.78125
604,32,64,2,0,512,3,1.0
605,32,64,2,1,32,3,0.578125
606,32,64,2,1,64,3,0.640625
607,32,64,2,1,128,3,0.75
608,32,64,2,1,256,3,0.828125
609,32,64,2,1,512,3,1.0
610,32,64,2,2,32,3,0.6875
611,32,64,2,2,64,3,0.640625
612,32,64,2,2,128,3,0.71875
613,32,64,2,2,256,3,0.765625
614,32,64,2,2,512,3,1.0
615,32,64,2,3,32,3,0.578125
616,32,64,2,3,64,3,0.671875
617,32,64,2,3,128,3,0.625
618,32,64,2,3,256,3,0.71875
619,32,64,2,3,512,3,1.0
620,32,64,3,0,32,3,0.71875
621,32,64,3,0,64,3,0.765625
622,32,64,3,0,128,3,0.78125
623,32,64,3,0,256,3,0.78125
624,32,64,3,0,512,3,1.0
625,32,64,3,1,32,3,0.71875
